,measure,value,value,value,value,value,value,value,value,value,value
28,avg.loss.sigma2d.est.SURE.SM.Double,0.9260741733,0.8879069936,0.8653745544,0.8652680408,0.8606909255,0.8558338219,0.8632914304,0.8601547231,0.8515739768,0.8560351802
29,avg.loss.sigma2d.est.DPMM,1.1933566292,1.0584693186,0.988111402,0.9477996262,0.9203708371,0.9262325209,0.909138268,0.9055017938,0.8969824416,0.883695227
30,avg.loss.sigma2d.est.DPMM_ng,1.1782712337,1.0918749887,1.0793527767,1.0396189798,1.0414877041,1.0207995444,1.0254387238,1.0135560942,0.9955303425,1.000704937
31,MISE.biv.kde.true,0.0853912907,0.0805205059,0.0773371932,0.0754939304,0.0735065507,0.0717960314,0.070763182,0.0704624549,0.0696309391,0.0688552644
32,MISE.biv.kde.sample.est,0.1090241572,0.1083484827,0.1075430791,0.1071849271,0.1061351185,0.1056376974,0.1055195836,0.1061459148,0.1058259091,0.1055907233
33,MISE.biv.kde.EBMLE,0.1062547203,0.1058172009,0.1049273722,0.1044838655,0.1034466541,0.1031564791,0.1028058537,0.1036997213,0.1032241437,0.1030865163
34,MISE.biv.kde.EBMOM,0.1062526659,0.1058076994,0.1049164762,0.1044763686,0.1034411189,0.1031594277,0.102798192,0.1037026196,0.103228387,0.1030904007
35,MISE.biv.kde.JS,0.1077220196,0.1071887367,0.1063263082,0.105958166,0.1048728302,0.1044585104,0.1042041143,0.1049692966,0.1045828984,0.1043651857
36,MISE.biv.kde.oracle,0.1061471816,0.1057583315,0.10486017,0.1044476857,0.1034155494,0.1031382418,0.1027804493,0.10368747,0.103212788,0.1030734512
37,MISE.biv.kde.SURE.G,0.1062780711,0.1058729689,0.1049499445,0.1045524269,0.1035328965,0.1033126228,0.1028981179,0.1038590604,0.1033773211,0.1032438994
38,MISE.biv.kde.SURE.M,0.1063411288,0.1058943135,0.1049662156,0.1045675383,0.1035493045,0.1033321014,0.1029106583,0.1038721323,0.1033867068,0.1032514149
39,MISE.biv.kde.SURE.SG,0.1071213255,0.1065047672,0.1055837126,0.1050363557,0.1039651483,0.1036676922,0.1032477205,0.1041757897,0.1036508232,0.1034798866
40,MISE.biv.kde.SURE.SM,0.107136159,0.1064903708,0.1055957245,0.1050300388,0.1039703743,0.1036684007,0.1032546826,0.1041771546,0.1036598182,0.1034833735
41,MISE.biv.kde.gl,0.1068061044,0.1061680514,0.1051380067,0.1048093429,0.1037216328,0.1034459068,0.1031259475,0.1040529915,0.1035631269,0.1033860495
42,MISE.biv.kde.gl.SURE,0.1069673546,0.1063897473,0.1054444467,0.1048403134,0.103793032,0.1035735333,0.1031127582,0.1041066521,0.1035808916,0.1034296724
43,MISE.biv.kde.gl.dynamic,0.1066196332,0.1062559495,0.1052840625,0.104867015,0.1037436936,0.1035545388,0.1030900786,0.1040269571,0.1037172946,0.103459063
44,MISE.biv.kde.gl.dynamicMin,0.1066459685,0.1065036538,0.1054440887,0.1050979288,0.1038893202,0.1036821688,0.1032624694,0.1041936421,0.1037997015,0.1035706547
45,MISE.biv.kde.gl.dynamicMin2,0.1066006105,0.1064315324,0.1054141147,0.1050239523,0.1038413094,0.1036406406,0.1032181657,0.1041508069,0.1037540653,0.1035491613
46,MISE.biv.kde.gl.dynamicMin3,0.1065506712,0.106392933,0.1053619342,0.1049745112,0.1038193977,0.1036118665,0.1031681773,0.1041122497,0.1037329076,0.1035230284
47,MISE.biv.kde.SURE.G.Double,0.0960281101,0.0953865376,0.094566052,0.0947960188,0.0941171818,0.0937107009,0.0934795587,0.0946703368,0.0945130693,0.0946298735
48,MISE.biv.kde.SURE.M.Double,0.0960374871,0.095400953,0.0945744423,0.0948043682,0.0941237321,0.0937177908,0.0934849531,0.0946760596,0.0945184395,0.0946343296
49,MISE.biv.kde.SURE.SG.Double,0.09602825,0.0953866181,0.0945660998,0.0947961768,0.0941173081,0.0937107619,0.0934795074,0.0946707661,0.094513226,0.0946298517
50,MISE.biv.kde.SURE.SM.Double,0.2342003685,0.2092137978,0.1982208345,0.2009843068,0.2097905747,0.1992889175,0.2031319772,0.2028838326,0.2013362561,0.201617616
51,MISE.biv.kde.DPMM,0.0922183497,0.0849137786,0.0808416912,0.0781846411,0.0758461299,0.0739818517,0.0729922122,0.0729608631,0.0720341177,0.0717188569
52,MISE.biv.DPMM,0.0822088628,0.0708255741,0.0687034717,0.0670804341,0.0666730247,0.0650306292,0.0654561458,0.0652867186,0.064727228,0.0657788586
53,MISE.biv.kde.DPMM_ng,0.093513687,0.0866803914,0.0834614028,0.0809496102,0.0790253791,0.0771996419,0.0765893499,0.0765991154,0.0756872082,0.0757963878
54,MISE.biv.DPMM_ng,0.0816651436,0.0709121335,0.0687974196,0.0669492431,0.0666930702,0.0651479725,0.0653386762,0.0653538878,0.0646672931,0.0657510009
55,MISE.mu.kde.true,0.1531939416,0.1277030934,0.1146361894,0.1061723911,0.1007923271,0.0957829981,0.091998916,0.0891499083,0.0871754235,0.0846314561
56,MISE.mu.kde.sample.est,0.2641712435,0.250183974,0.2431709901,0.2379833248,0.2338793091,0.2309067057,0.2293624846,0.2286604196,0.2266763722,0.2255008871
57,MISE.mu.kde.EBMLE,0.2564809318,0.2468985988,0.2378435946,0.2327412011,0.2277311758,0.2277772003,0.224233299,0.2265623204,0.2230629194,0.2217118352
58,MISE.mu.kde.EBMOM,0.2573430024,0.2479817894,0.238813515,0.2338884462,0.2288503829,0.2291363577,0.2254364468,0.2279270906,0.2243903158,0.2230336246
59,MISE.mu.kde.JS,0.2555101099,0.2422124314,0.2345060703,0.2292951425,0.2248462912,0.2224371296,0.2198057935,0.2201847288,0.2177523968,0.2164149364
60,MISE.mu.kde.oracle,0.2554390078,0.2460549059,0.2378067243,0.233176602,0.2284591202,0.2282615011,0.2251621539,0.2275330516,0.2239004656,0.222794822
61,MISE.mu.kde.SURE.G,0.2633678931,0.2551754167,0.2452278155,0.241164061,0.236123328,0.2375658829,0.2332424539,0.2364257087,0.2325141045,0.2313022455
62,MISE.mu.kde.SURE.M,0.2634664593,0.2550227121,0.2450780195,0.2411079269,0.2360735341,0.2375696066,0.2332157465,0.2364035176,0.2325339008,0.2312936247
63,MISE.mu.kde.SURE.SG,0.2742930407,0.2655515171,0.2549119098,0.2501113335,0.2440162136,0.2441887828,0.2402278882,0.2429114328,0.2385401136,0.2369727093
64,MISE.mu.kde.SURE.SM,0.2701345997,0.2635345629,0.2537182545,0.2493186402,0.2436105393,0.2436998225,0.2400063962,0.2427585417,0.2384419039,0.2368172637
65,MISE.mu.kde.gl,0.2582598201,0.2508798789,0.2427701153,0.2396398335,0.2357461209,0.236421613,0.2331475998,0.236120507,0.2322638836,0.2312023385
66,MISE.mu.kde.gl.SURE,0.2606527301,0.2544067064,0.2460549865,0.2418066558,0.2377152121,0.2380973077,0.2342491646,0.2379813564,0.2333350201,0.2319595518
67,MISE.mu.kde.gl.dynamic,0.2532364739,0.2433489496,0.2340547294,0.2295966223,0.2246260323,0.2247354854,0.2201494305,0.2225628056,0.220906282,0.218126066
68,MISE.mu.kde.gl.dynamicMin,0.253774233,0.2454102866,0.2354296856,0.2313107536,0.2254543096,0.2256720325,0.2213348392,0.2237399944,0.2212530077,0.218754027
69,MISE.mu.kde.gl.dynamicMin2,0.2533938625,0.2448161456,0.2352550417,0.2309152775,0.2251640747,0.2254108714,0.2210692618,0.2235099595,0.2210405456,0.2186080585
70,MISE.mu.kde.gl.dynamicMin3,0.2530586233,0.2445517077,0.234856627,0.2305819151,0.2250663286,0.2252061918,0.220708723,0.2232443328,0.2209348304,0.2184723719
71,MISE.mu.kde.SURE.G.Double,0.2542254347,0.2451027046,0.2349408029,0.2304454634,0.2254051927,0.2255149208,0.2208572962,0.2234539406,0.2215434874,0.2187587784
72,MISE.mu.kde.SURE.M.Double,0.2545098626,0.2453084762,0.2350586351,0.2305458488,0.2254810904,0.2255913412,0.2209149795,0.2235114187,0.2215963902,0.2188024705
73,MISE.mu.kde.SURE.SG.Double,0.2542258516,0.2451029001,0.2349408589,0.2304455734,0.2254052523,0.2255149613,0.2208573262,0.2234538335,0.2215434799,0.2187588424
74,MISE.mu.kde.SURE.SM.Double,0.2545100025,0.2453086525,0.2350587201,0.2305459604,0.2254811522,0.225591389,0.2209150235,0.2235113148,0.2215963824,0.2188025339
75,MISE.mu.abhra,0.1168042368,0.0920813249,0.0851772022,0.0782470188,0.0836967338,0.0831759646,0.0827802505,0.0861586578,0.0860239466,0.086935943
76,MISE.mu.kde.DPMM,0.2064133933,0.162376334,0.1406973356,0.1242776076,0.1140063964,0.105395232,0.0996157026,0.0962416085,0.0914330506,0.0874695064
77,MISE.mu.DPMM,0.2042246049,0.1503554125,0.1288818877,0.1151732448,0.106109562,0.0996294548,0.0951586463,0.0937742028,0.0895801982,0.0870534455
78,MISE.mu.kde.DPMM_ng,0.2060804271,0.1622462618,0.1407019308,0.1242434492,0.11388876,0.1054150017,0.0996260986,0.0962699525,0.0914321309,0.0874646261
79,MISE.mu.DPMM_ng,0.2031989374,0.1502685384,0.1289907283,0.1151789996,0.1060513256,0.0997122099,0.0952288395,0.0938270446,0.0895609505,0.0870293253
80,MISE.sigma2.kde.true,0.0986077559,0.0950162513,0.0930225394,0.0922893462,0.0910583459,0.0903580836,0.0894015019,0.0892325088,0.0891217952,0.0887196538
81,MISE.sigma2.kde.sample.est,0.1396307627,0.1402342478,0.1399503881,0.13954751,0.1393601464,0.1406984636,0.1402422032,0.1408318817,0.1415004151,0.1412833845
82,MISE.sigma2.kde.SURE.G.Double,0.0990012917,0.1039468063,0.1080823127,0.1125182736,0.1160460759,0.1159007365,0.1184554844,0.1201218144,0.1213957541,0.1242205811
83,MISE.sigma2.kde.SURE.M.Double,0.0990013409,0.1039468029,0.1080822948,0.1125182621,0.1160460797,0.1159007327,0.118455486,0.1201218206,0.1213957527,0.1242205864
84,MISE.sigma2.kde.SURE.SG.Double,0.0990017656,0.1039466521,0.1080819826,0.1125190264,0.1160468224,0.1159009676,0.118454695,0.1201245974,0.1213967841,0.1242200847
85,MISE.sigma2.kde.SURE.SM.Double,149625415.704051,0.7097982192,0.6651562068,0.6693283618,0.7205271646,0.6553357245,0.6842579383,0.6708605876,0.659856479,0.6647543644
86,MISE.sigma2.kde.DPMM,0.0993236632,0.0970613708,0.0975795428,0.0994335438,0.1002841721,0.1011124464,0.1019273989,0.1027281183,0.1039039602,0.1059938064
87,MISE.sigma2.DPMM,0.0822013401,0.0865622226,0.0936144571,0.0969958322,0.0996092293,0.0976309587,0.1009248913,0.0991794384,0.0996006486,0.1036981083
88,MISE.sigma2.kde.DPMM_ng,0.1062196203,0.1050463881,0.1081401252,0.1102147141,0.1119574886,0.1119505872,0.1139059777,0.1148347938,0.1157268338,0.1191130469
89,MISE.sigma2.DPMM_ng,0.0813597142,0.0870081817,0.0939574313,0.0964878751,0.0998812734,0.0972634279,0.1003569609,0.099846297,0.0995736806,0.1035947119
