,measure,value,value,value,value,value,value,value,value,value,value
1,q,100,200,300,400,500,600,700,800,900,1000
2,avg.loss.mu.est.true.oracle,8.98604977120241E-05,1.35684875702793E-05,7.28411287790447E-06,5.41160041114261E-06,0.000002349,1.83894672796637E-06,1.51921199423239E-06,1.39524942877779E-06,9.70639475090954E-07,8.63777431784586E-07
3,avg.loss.mu.est.sample.mean,0.5586139988,0.5600051632,0.5535504281,0.5489408851,0.545382056,0.5446875187,0.5501377767,0.5561766427,0.5528292635,0.5495491873
4,avg.loss.mu.est.EBMLE,0.4690985252,0.4814019857,0.4679284437,0.4651464754,0.4616157897,0.4650061746,0.4651614753,0.4722713536,0.4675582771,0.4654478712
5,avg.loss.mu.est.EBMOM,0.4701176968,0.4826261493,0.4687565919,0.4661097199,0.4625021734,0.4661684771,0.4659749341,0.4731982737,0.4684906839,0.4662654094
6,avg.loss.mu.est.JS,0.5020257803,0.5104029097,0.5029987234,0.5004578399,0.4965748955,0.4982718741,0.4999022838,0.5082389093,0.5038400361,0.5006029646
7,avg.loss.mu.est.oracle,0.4639050353,0.4792882404,0.4658455572,0.4641763735,0.4612439927,0.4647367781,0.4651648448,0.4724383827,0.4676747273,0.4656954559
8,avg.loss.mu.est.SURE.G,0.4778372579,0.4916338729,0.4754204698,0.4733926997,0.4695919708,0.4746951317,0.4729100658,0.4806424304,0.4755811559,0.4730341256
9,avg.loss.mu.est.SURE.M,0.479098232,0.492836579,0.4753786929,0.4736394113,0.4696410012,0.4749607874,0.4732603661,0.4807812093,0.4758722688,0.4732763256
10,avg.loss.mu.est.SURE.SG,0.539278873,0.5465681556,0.52415128,0.516654953,0.5116432911,0.5173558669,0.5148261689,0.520570269,0.5126733394,0.5108814793
11,avg.loss.mu.est.SURE.SM,0.5422070962,0.5489057623,0.5246432204,0.5175898529,0.5129706662,0.5187183567,0.5157072981,0.5213048923,0.5137460376,0.5118802693
12,avg.loss.mu.est.gl,0.4786414233,0.4955711542,0.4830727556,0.4837358827,0.4825028362,0.4893470367,0.4896573514,0.4984884477,0.4907334427,0.4897821196
13,avg.loss.mu.est.gl.SURE,0.4881119923,0.5089679485,0.4929429427,0.4914743564,0.4903544246,0.4983863742,0.4967651224,0.5049664978,0.4961648981,0.4963723293
14,avg.loss.mu.est.gl.dynamic,0.4659680662,0.468997269,0.4567375795,0.451584847,0.4453691423,0.4491781492,0.4479840272,0.4535209998,0.4512162204,0.4469658091
15,avg.loss.mu.est.gl.dynamicMin,0.4676565088,0.4743665683,0.4612399403,0.4573794538,0.4492008276,0.4527836486,0.4524284799,0.4583937146,0.4549332895,0.4507573553
16,avg.loss.mu.est.gl.dynamicMin2,0.4664538941,0.472432632,0.4587269918,0.4550170911,0.4476024454,0.4512711382,0.4508415074,0.4569943188,0.4535820943,0.4499186877
17,avg.loss.mu.est.gl.dynamicMin3,0.4628551506,0.471136855,0.4572103169,0.4539746437,0.4466080228,0.4504880837,0.4494540438,0.4558130867,0.4525945154,0.4491624967
18,avg.loss.mu.est.SURE.M.Double,0.453282541,0.4632256755,0.4495036451,0.4474009059,0.4420554695,0.4459891995,0.4452831929,0.4515988636,0.449125614,0.445190415
19,avg.loss.mu.est.SURE.G.Double,0.4532581694,0.463160055,0.4495036713,0.4473895401,0.4420563866,0.4459749315,0.4452850452,0.4515977312,0.4491223516,0.4451911432
20,avg.loss.mu.est.SURE.SG.Double,0.4532584196,0.4631601294,0.4495036405,0.4473895515,0.4420564759,0.4459749368,0.4452850415,0.4515977035,0.4491224105,0.4451911747
21,avg.loss.mu.est.SURE.SM.Double,0.4532825701,0.4632257374,0.449503623,0.4474009178,0.4420555575,0.4459892059,0.4452831794,0.451598841,0.4491256705,0.4451904479
22,avg.loss.mu.est.DPMM,0.3499222205,0.3191748833,0.2882101556,0.2810831895,0.2701013786,0.2689017392,0.2707520977,0.2708639558,0.2682605102,0.2618520615
23,avg.loss.mu.est.DPMM_ng,0.349519495,0.3189056307,0.2884352622,0.2811908513,0.2701531352,0.2691136001,0.2707437134,0.271069075,0.2682253743,0.2613772905
24,avg.loss.sigma2d.est.sample.var,4.0352885089,4.0107888543,3.9438665083,3.9354109327,3.7905759672,3.9878508003,3.8911757708,3.9393786857,3.9747307977,3.9159942933
25,avg.loss.sigma2d.est.SURE.M.Double,0.9260641148,0.8878931213,0.865357353,0.8652476215,0.8606757517,0.8558147544,0.8632718324,0.8601337096,0.8515558246,0.8560163765
26,avg.loss.sigma2d.est.SURE.G.Double,0.926057845,0.887893113,0.8653574742,0.8652476907,0.8606757455,0.8558147581,0.8632718333,0.8601336961,0.8515558227,0.8560163623
27,avg.loss.sigma2d.est.SURE.SG.Double,0.9260733906,0.8879060512,0.8653746213,0.8652680958,0.8606909579,0.855833917,0.8632913357,0.8601547407,0.8515740013,0.856035199
