"","measure","value","value","value","value","value","value","value","value","value","value"
"1","q",100,200,300,400,500,600,700,800,900,1000
"2","avg.loss.mu.est.true.oracle",5.20916836766591e-05,7.47290143828224e-06,4.89780742923954e-06,3.77652631665566e-06,1.77639531934381e-06,1.28330544838788e-06,7.73365626117224e-07,8.54049944350497e-07,4.32983704544873e-07,5.97987454989363e-07
"3","avg.loss.mu.est.sample.mean",0.749069158938926,0.75181967048453,0.749661062620643,0.747655391157683,0.736434426734011,0.743592588432785,0.744394494427239,0.756184868160813,0.752243752846286,0.753088716036113
"4","avg.loss.mu.est.EBMLE",0.638283808730696,0.644812348419171,0.637442584177395,0.632840876934482,0.631256093275013,0.631456562712918,0.63308045785008,0.641630656078022,0.641144939655895,0.637133712623632
"5","avg.loss.mu.est.EBMOM",0.638783605275741,0.645785675504074,0.638642718286319,0.634007888343224,0.632855147487842,0.632786944526819,0.634338333177787,0.642866782928016,0.642482028526845,0.638226516555313
"6","avg.loss.mu.est.JS",0.658109842498349,0.663410140488186,0.661450583075461,0.663909921449858,0.652235109573971,0.658302949775789,0.661444207615169,0.675996813737309,0.669669690102024,0.67284746778405
"7","avg.loss.mu.est.oracle",0.627311165260912,0.641025202011835,0.635488206913102,0.631684608553854,0.630484490958166,0.630977061980807,0.633148491650457,0.641780329438746,0.640875957344609,0.63761547515185
"8","avg.loss.mu.est.SURE.G",0.648348564512135,0.656380805453624,0.648749474610982,0.643255941303369,0.643455096297157,0.642592246318101,0.644107399517376,0.652678683912199,0.652048015008454,0.64739194646528
"9","avg.loss.mu.est.SURE.M",0.650077852279158,0.657003584778443,0.648963766615987,0.643299553393222,0.6438744093739,0.64296829235329,0.644349387098288,0.652995138151809,0.652085326777015,0.647581811942801
"10","avg.loss.mu.est.SURE.SG",0.702502751662345,0.708760236568315,0.697910275838398,0.683447670141174,0.683790648656684,0.685485495592383,0.686575474504142,0.697935992651914,0.692696082258234,0.687892916233352
