,measure,value,value,value,value,value,value,value,value,value,value
22,avg.loss.mu.est.DPMM,0.0941125014,0.0935776602,0.0934318843,0.0915982808,0.0901220302,0.0890623031,0.0898553839,0.0893396115,0.0902117671,0.0896430529
23,avg.loss.mu.est.DPMM_ng,0.0937517555,0.0936169181,0.0933438374,0.0915725945,0.0900938398,0.0890505377,0.0898895921,0.0893170147,0.0902457729,0.0896784501
24,avg.loss.sigma2d.est.sample.var,0.3187707383,0.3328666266,0.3291199267,0.3708952473,0.3483798461,0.3428108789,0.4717058702,0.3792741179,0.5917453221,0.3504387042
25,avg.loss.sigma2d.est.SURE.M.Double,0.1366684174,0.1542729597,0.1298449734,0.1370851905,0.1379234382,0.1401403446,0.1756905731,0.1746254346,0.2120133517,0.1500951256
26,avg.loss.sigma2d.est.SURE.G.Double,0.1366682812,0.1542729207,0.1298451677,0.1370852082,0.1379233573,0.1401403014,0.1756905655,0.1746253942,0.2120133154,0.1500950771
27,avg.loss.sigma2d.est.SURE.SG.Double,0.1366611335,0.154263989,0.1298423271,0.1370849447,0.1379232462,0.1401398046,0.1756910097,0.1746245986,0.2120135285,0.1500963448
28,avg.loss.sigma2d.est.SURE.SM.Double,0.1366616743,0.1542678132,0.1298424469,0.1370835747,0.137923413,0.1401398125,0.1756907028,0.1746240532,0.2120139594,0.1500943981
29,avg.loss.sigma2d.est.DPMM,0.1921866932,0.1303505046,0.1183149417,0.1201606713,0.114624192,0.117289094,0.1567786447,0.1459128729,0.2254767842,0.1165987068
30,avg.loss.sigma2d.est.DPMM_ng,0.1226942918,0.1310011751,0.1098920505,0.1123442909,0.115600214,0.1192594878,0.1337480708,0.1518033216,0.1567721809,0.1294168161
31,MISE.biv.kde.true,0.4467516588,0.4258755933,0.4070428257,0.4037066432,0.3837396542,0.3726904248,0.371804895,0.3628132442,0.3542712421,0.3654321988
32,MISE.biv.kde.sample.est,0.5783849872,0.5702994908,0.5683830286,0.5714257886,0.5620452102,0.5552040068,0.5609270472,0.5559731003,0.5487686582,0.56761553
33,MISE.biv.kde.EBMLE,0.5713193779,0.5647361876,0.5625350825,0.5655747781,0.5560850989,0.5497038213,0.555341166,0.5504537171,0.5433562075,0.5621272703
34,MISE.biv.kde.EBMOM,0.5725179602,0.5652938379,0.5631508655,0.566154084,0.5567241636,0.5502218527,0.5558717123,0.5509694011,0.5438534675,0.5626518286
35,MISE.biv.kde.JS,0.5714988322,0.5649394652,0.5626775839,0.5663495487,0.5570867663,0.5504710836,0.5560372316,0.5512148256,0.5443821575,0.5631111017
36,MISE.biv.kde.oracle,0.5753927641,0.5686587355,0.5667313666,0.5699809313,0.5607681075,0.5539083704,0.5597513694,0.5547808312,0.5476381988,0.5664900855
37,MISE.biv.kde.SURE.G,0.5755474556,0.5688538002,0.5668411763,0.5701733157,0.5609373954,0.5539852175,0.559827976,0.5548446194,0.5477115445,0.5665868677
38,MISE.biv.kde.SURE.M,0.5751764787,0.5685599906,0.5666469713,0.5698817797,0.5607372273,0.5538583584,0.5596887744,0.5547530838,0.5476152318,0.5664315965
39,MISE.biv.kde.SURE.SG,0.570693255,0.5638024437,0.5616927417,0.5645151509,0.5549593152,0.5486929742,0.5542414484,0.549370844,0.5423679654,0.5608961101
40,MISE.biv.kde.SURE.SM,0.5710564071,0.5642762811,0.5624392396,0.5651839601,0.5553667475,0.5490743415,0.5548474967,0.5498020999,0.5429257524,0.5615154531
41,MISE.biv.kde.gl,0.565622699,0.5611072184,0.5589334061,0.5627994251,0.5534649142,0.5475425225,0.5530774259,0.5483863917,0.5414896392,0.5600176897
42,MISE.biv.kde.gl.SURE,0.5610182872,0.5574171397,0.5556417361,0.5608308232,0.5517123069,0.5465668398,0.5520740811,0.5477276672,0.5407871941,0.5594796019
43,MISE.biv.kde.gl.dynamic,0.5663423276,0.5605515587,0.5598739403,0.5631633084,0.5540689974,0.548025613,0.5534538181,0.5485652667,0.5417182491,0.5604165378
44,MISE.biv.kde.gl.dynamicMin,0.5547859451,0.5489330198,0.5499440553,0.5533254071,0.5452635939,0.5419267972,0.5477807312,0.5435201437,0.5368510992,0.5564760282
45,MISE.biv.kde.gl.dynamicMin2,0.556723848,0.5518656279,0.5526855402,0.5561632988,0.5478347912,0.5441890711,0.550134577,0.54545915,0.5390613693,0.5583116972
46,MISE.biv.kde.gl.dynamicMin3,0.5586577443,0.5550329886,0.5550084552,0.5586228982,0.5499542653,0.5453370613,0.5514999138,0.546717455,0.5402152902,0.5591117128
47,MISE.biv.kde.SURE.G.Double,0.4528724168,0.4393174868,0.4272391904,0.4245994154,0.4045601871,0.3962984998,0.3991459573,0.3921632039,0.3852892569,0.4000447302
48,MISE.biv.kde.SURE.M.Double,0.452765777,0.4392709363,0.4272074935,0.4245749924,0.4045408078,0.3962834909,0.3991327954,0.3921522948,0.3852794825,0.4000358937
49,MISE.biv.kde.SURE.SG.Double,0.4528780379,0.4393147105,0.4272352108,0.4245968965,0.4045590678,0.3962957898,0.3991442822,0.3921588423,0.3852861392,0.4000416275
50,MISE.biv.kde.SURE.SM.Double,1.1338365,0.709994651,0.741410853,0.5813028337,0.5702978413,0.63218006,0.613173876,0.6182526899,0.5121329367,0.5355548453
51,MISE.biv.kde.DPMM,0.40225598,0.3590792477,0.3362571578,0.3283612741,0.3044693408,0.2931072362,0.2926163476,0.2837891772,0.2770999692,0.2847535013
52,MISE.biv.DPMM,0.0884230846,0.0480493739,0.0327089232,0.0289238928,0.0253646768,0.0234511432,0.0207966217,0.0188987023,0.0180844069,0.0156964338
53,MISE.biv.kde.DPMM_ng,0.3348751286,0.2883043125,0.2603243555,0.248463255,0.2310056912,0.2202719157,0.21866095,0.2103461032,0.2073557494,0.2110155169
54,MISE.biv.DPMM_ng,0.0856772607,0.0516129697,0.0370480123,0.0298520715,0.0256959742,0.0302816785,0.0295541553,0.025842151,0.0318396992,0.0300894365
55,MISE.mu.kde.true,0.0145996457,0.0083235765,0.0056111433,0.0051129257,0.0038452201,0.0033032233,0.0031246753,0.002861886,0.0026476253,0.0021880607
56,MISE.mu.kde.sample.est,0.0366136031,0.0299233081,0.0238071764,0.0224013651,0.0229220973,0.0212108144,0.0201904963,0.0199962159,0.0209081817,0.020176801
57,MISE.mu.kde.EBMLE,0.0308530464,0.0246790334,0.0189033044,0.017726283,0.0180111322,0.0167628384,0.015827827,0.0157241531,0.0163766663,0.0157321064
58,MISE.mu.kde.EBMOM,0.0315580544,0.0251477467,0.0193643314,0.0181429249,0.0184765116,0.0171309709,0.0161970337,0.0160791854,0.0167455352,0.0161057782
59,MISE.mu.kde.JS,0.0318312337,0.025707388,0.0196177679,0.0187161817,0.0191987283,0.0176756515,0.0166569916,0.0165375203,0.017512772,0.0168022836
60,MISE.mu.kde.oracle,0.0339521389,0.0282863289,0.02247628,0.0214519463,0.0220411756,0.0203157461,0.0194163786,0.019307055,0.0201238535,0.0193409634
61,MISE.mu.kde.SURE.G,0.0342090667,0.0284012373,0.0223989191,0.0212711563,0.0218904717,0.0200938708,0.0192256349,0.0190037426,0.0199158218,0.0192435173
62,MISE.mu.kde.SURE.M,0.0339475171,0.0282310962,0.0224639536,0.0214300552,0.0220483755,0.0203116202,0.0194072994,0.0193242315,0.020153421,0.0193269422
63,MISE.mu.kde.SURE.SG,0.0307657927,0.0243965761,0.0188933754,0.0177616567,0.0181796325,0.0168587846,0.0159231298,0.0158379375,0.0165856524,0.015899498
64,MISE.mu.kde.SURE.SM,0.0305496794,0.025176442,0.0194960804,0.018250527,0.018581724,0.0171588368,0.0163593903,0.0162586365,0.0170743195,0.0163387778
65,MISE.mu.kde.gl,0.0295651127,0.0233225154,0.017634781,0.0166569646,0.017175152,0.0160968859,0.0152118577,0.0151594835,0.0159786728,0.0153028813
66,MISE.mu.kde.gl.SURE,0.0278671983,0.021542732,0.0160679668,0.0157777821,0.016502877,0.0154309822,0.0146553927,0.0148103281,0.0156079437,0.0149794552
67,MISE.mu.kde.gl.dynamic,0.0301531446,0.0223496123,0.0175250341,0.0165729853,0.0171011605,0.0159632884,0.0148894869,0.0148257223,0.0156558518,0.0149940431
68,MISE.mu.kde.gl.dynamicMin,0.0281826049,0.0164224778,0.0124717102,0.0109583853,0.0116879171,0.0119302235,0.0113471873,0.0115820675,0.0121653008,0.0121937098
69,MISE.mu.kde.gl.dynamicMin2,0.0281173711,0.0181310361,0.0137032825,0.01253981,0.013229915,0.0133794396,0.0129297209,0.0128107837,0.0136971001,0.0134453328
70,MISE.mu.kde.gl.dynamicMin3,0.0280691112,0.0198226966,0.0151205336,0.0138429316,0.0144614746,0.0141064183,0.013739002,0.0135872744,0.0145459116,0.0140660279
71,MISE.mu.kde.SURE.G.Double,0.0305487814,0.0240982517,0.0184251951,0.017042209,0.0175159294,0.0161797103,0.0151731702,0.015136325,0.0157910037,0.015204884
72,MISE.mu.kde.SURE.M.Double,0.0304991816,0.0240722319,0.0184098193,0.0170307476,0.0175065822,0.0161725121,0.0151670402,0.0151311628,0.0157861001,0.0152006107
73,MISE.mu.kde.SURE.SG.Double,0.030548754,0.0240982083,0.0184251326,0.0170421346,0.0175158798,0.0161796566,0.0151731001,0.0151362539,0.015790921,0.0152048567
74,MISE.mu.kde.SURE.SM.Double,0.0304990964,0.0240722192,0.0184097597,0.0170306993,0.0175065245,0.0161724621,0.0151669764,0.015131112,0.0157860543,0.0152005543
75,MISE.mu.abhra,0.0182704964,0.0084279572,0.0089921809,0.0058184984,0.0051553761,0.0046320129,0.0040916228,0.0055870601,0.0060358635,0.0051807009
76,MISE.mu.kde.DPMM,0.0381827321,0.0214803797,0.0216516649,0.0210011979,0.0147027862,0.0166456894,0.0173641791,0.016644782,0.012862934,0.0152067693
77,MISE.mu.DPMM,0.0118997829,0.0058141787,0.0034656506,0.0029964123,0.0019106404,0.0018057031,0.001867569,0.0015119332,0.0010574817,0.0010945466
78,MISE.mu.kde.DPMM_ng,0.0377559757,0.021474272,0.0213930987,0.0206560299,0.014652461,0.0164896601,0.017070113,0.0165077275,0.012622551,0.0148082541
79,MISE.mu.DPMM_ng,0.0119123727,0.0058390133,0.0034858373,0.0029070741,0.0018881486,0.0018371466,0.0019218933,0.0015170551,0.0011088643,0.0011877174
80,MISE.sigma2.kde.true,0.5852175914,0.5614658467,0.543871062,0.5387494011,0.5135224058,0.5021424215,0.5050414887,0.4923728898,0.4802960866,0.4982531524
81,MISE.sigma2.kde.sample.est,0.7970761809,0.7893926259,0.7966029504,0.7981452224,0.7853946597,0.7803252183,0.786820851,0.7830185907,0.7709908807,0.7989891789
82,MISE.sigma2.kde.SURE.G.Double,0.5191439244,0.5057899517,0.5073847415,0.4980942065,0.4693153863,0.4689740887,0.473735672,0.4669699295,0.4531386155,0.4760549124
83,MISE.sigma2.kde.SURE.M.Double,0.519144076,0.505790184,0.5073843599,0.498094138,0.4693154734,0.4689739828,0.4737355997,0.4669705283,0.4531389684,0.4760551368
84,MISE.sigma2.kde.SURE.SG.Double,0.5191414075,0.5057758307,0.5073698581,0.4980841481,0.4693103267,0.4689648499,0.4737301413,0.4669564791,0.4531295867,0.4760445014
85,MISE.sigma2.kde.SURE.SM.Double,2.2495377356,1.3401071765,1.3711804027,1.0401741497,1.0287245635,1.1543758472,1.1159807519,1.1170675823,0.9266322763,0.9314244246
86,MISE.sigma2.kde.DPMM,0.5586622696,0.509720353,0.4933713555,0.4854722618,0.4526910934,0.4431005395,0.4462561831,0.435498326,0.4250062353,0.4404064042
87,MISE.sigma2.DPMM,0.0914723738,0.0503328032,0.0356862244,0.0314657105,0.0293232421,0.0261863336,0.0229208803,0.021280031,0.0209822912,0.0179583338
88,MISE.sigma2.kde.DPMM_ng,0.450714101,0.4014552975,0.3805353154,0.3685997371,0.3455420329,0.3379412979,0.3401247557,0.3291329938,0.3245704173,0.3342902298
89,MISE.sigma2.DPMM_ng,0.0884343323,0.0550147709,0.0415406695,0.0326326491,0.0295446914,0.034729885,0.0338008294,0.0302810995,0.0380971545,0.0359821511
