,measure,value,value,value,value,value,value,value,value,value,value
1,q,100,200,300,400,500,600,700,800,900,1000
2,avg.loss.mu.est.true.oracle,9.47530867921664E-06,1.51660206383136E-06,1.10117305509862E-06,5.38472624696524E-07,4.05840619438828E-07,2.86496684556797E-07,0.000000153,1.08509216025085E-07,1.06400048604471E-07,5.96913124676994E-08
3,avg.loss.mu.est.sample.mean,0.1335460837,0.140971792,0.1400654619,0.1374312237,0.1367019983,0.1369358987,0.1388867137,0.1367733442,0.1377419431,0.1372049107
4,avg.loss.mu.est.EBMLE,0.1790839915,0.1798959389,0.1775687042,0.1800663374,0.1845734455,0.1748266084,0.1813039916,0.1756811968,0.1810557252,0.1807145822
5,avg.loss.mu.est.EBMOM,0.1633439552,0.1711823462,0.1691584391,0.1724129106,0.1752374594,0.1679419644,0.1740580804,0.1689396636,0.1740589603,0.1734210454
6,avg.loss.mu.est.JS,0.1277504315,0.1353246412,0.1346973928,0.1330255249,0.1320762127,0.1322293278,0.1341334105,0.1324348588,0.1331879679,0.1328607994
7,avg.loss.mu.est.oracle,0.1303087162,0.1391180354,0.1382629898,0.1365227984,0.1355980429,0.1356902941,0.1377823331,0.1357931111,0.1365431772,0.1363761406
8,avg.loss.mu.est.SURE.G,0.1318301391,0.1401441271,0.1396996589,0.1378210807,0.1362915853,0.136456922,0.1390552579,0.1365967181,0.1378348203,0.1372779192
9,avg.loss.mu.est.SURE.M,0.1321904092,0.1402549649,0.1393505606,0.1375664573,0.1361971874,0.1362594957,0.1386417563,0.1365317964,0.1372822314,0.1369049294
10,avg.loss.mu.est.SURE.SG,0.1299292646,0.1368545975,0.1370032074,0.1349577543,0.1327626201,0.133487849,0.1356421872,0.1338562284,0.1346512035,0.1337448582
11,avg.loss.mu.est.SURE.SM,0.130268854,0.1372701423,0.1373061373,0.1347528094,0.1331171131,0.133272021,0.1349311164,0.1336358219,0.1344962962,0.1337474641
12,avg.loss.mu.est.gl,0.1245978716,0.1345764719,0.1333053117,0.1321610688,0.1308562502,0.1314261887,0.1335096936,0.1320932375,0.1327292691,0.1320837573
13,avg.loss.mu.est.gl.SURE,0.1226270848,0.133415727,0.1322577078,0.1314196468,0.1301477468,0.1311545983,0.1331745329,0.1316251101,0.1325437568,0.1318588263
14,avg.loss.mu.est.gl.dynamic,0.1241189675,0.1331746093,0.1330359955,0.1316910836,0.1308555071,0.1311227221,0.132997969,0.1312847844,0.1320509305,0.1317561393
15,avg.loss.mu.est.gl.dynamicMin,0.1194339459,0.1270163267,0.1282671814,0.1265774834,0.1263093701,0.1276553356,0.1302530586,0.1287460492,0.1297113229,0.1300935349
16,avg.loss.mu.est.gl.dynamicMin2,0.120108627,0.1283554701,0.1298623887,0.1279906792,0.1276405112,0.1290160531,0.1314226999,0.1297126327,0.1306506022,0.1309214964
17,avg.loss.mu.est.gl.dynamicMin3,0.1212514783,0.1297999595,0.1310885539,0.1294306402,0.1288794156,0.1297063431,0.1322258699,0.1303691079,0.131286197,0.1313568612
18,avg.loss.mu.est.SURE.M.Double,0.1265867271,0.134502841,0.1338263202,0.1323519476,0.1311960959,0.1313419083,0.1333268083,0.1316994025,0.1322447587,0.1320013245
19,avg.loss.mu.est.SURE.G.Double,0.1265913806,0.134507608,0.1338271938,0.1323499021,0.13119559,0.1313419648,0.1333267571,0.1316987573,0.1322446412,0.132001005
20,avg.loss.mu.est.SURE.SG.Double,0.1265914714,0.1345076366,0.133827187,0.1323499151,0.1311955903,0.1313419774,0.133326762,0.131698804,0.1322446205,0.1320009961
21,avg.loss.mu.est.SURE.SM.Double,0.1265867852,0.1345028512,0.1338263138,0.1323519549,0.1311960906,0.1313419188,0.1333268149,0.1316994042,0.1322447572,0.1320013154
