,measure,value,value,value,value,value,value,value,value,value,value
36,MISE.biv.kde.oracle,0.1447629286,0.1426455638,0.1422200922,0.1426329526,0.1420966159,0.1420690806,0.141613955,0.1421789018,0.141490633,0.1422157884
37,MISE.biv.kde.SURE.G,0.1447189059,0.1426137458,0.14211603,0.1425424284,0.1420057506,0.1419913296,0.1415348177,0.1420832148,0.1413916037,0.1421104187
38,MISE.biv.kde.SURE.M,0.1446343887,0.1425632672,0.1420943191,0.1425206668,0.1419884217,0.1419775667,0.1415223328,0.1420721039,0.1413804062,0.1420963456
39,MISE.biv.kde.SURE.SG,0.1448738709,0.1426911056,0.1422747591,0.142663089,0.1421423726,0.1421140186,0.1416193584,0.1421871192,0.1415162101,0.1422325587
40,MISE.biv.kde.SURE.SM,0.1450903587,0.1429127201,0.1424045562,0.1427989593,0.1422450487,0.1421826754,0.1416841655,0.1422534003,0.1415746085,0.1422796982
41,MISE.biv.kde.gl,0.1449273054,0.1426872049,0.1422440992,0.1426464611,0.1421089532,0.1420858054,0.141586055,0.1421613448,0.1414790403,0.1421967294
42,MISE.biv.kde.gl.SURE,0.1449619099,0.142745942,0.142296249,0.1426563026,0.1421122,0.1420617396,0.1415818136,0.1421463814,0.1414646305,0.1421720154
43,MISE.biv.kde.gl.dynamic,0.1449458477,0.14270516,0.1422739919,0.1426152156,0.142107454,0.1420761914,0.141589853,0.1421417218,0.141483115,0.1422120742
44,MISE.biv.kde.gl.dynamicMin,0.1449291663,0.142728732,0.1423054902,0.1426663399,0.1421552941,0.1421219113,0.1416446424,0.1421832322,0.1415326156,0.1422629882
45,MISE.biv.kde.gl.dynamicMin2,0.144916734,0.1427183426,0.1422812198,0.1426461021,0.1421455884,0.1421087592,0.1416315779,0.1421740147,0.1415230973,0.142249047
46,MISE.biv.kde.gl.dynamicMin3,0.1449156076,0.1427049153,0.142268899,0.1426323057,0.1421360041,0.1421011147,0.1416230239,0.1421655525,0.1415160839,0.1422420947
47,MISE.biv.kde.SURE.G.Double,0.0955181059,0.0856456256,0.0826020615,0.082682163,0.0789334984,0.0779803701,0.0772094043,0.0782478557,0.0776185426,0.0766937255
48,MISE.biv.kde.SURE.M.Double,0.0954953282,0.0856343664,0.0825945044,0.0826766533,0.0789290686,0.0779767532,0.0772063034,0.0782452232,0.0776162312,0.0766914323
49,MISE.biv.kde.SURE.SG.Double,0.0955216066,0.0856466875,0.0826003246,0.0826790248,0.0789297935,0.077977037,0.0772047737,0.0782437176,0.0776121889,0.0766888959
50,MISE.biv.kde.SURE.SM.Double,1.609524771,0.426091481,0.3271204606,0.3200523674,0.3113371364,0.2889071958,0.2986425235,0.280531173,0.3073141422,0.2746107641
51,MISE.biv.kde.DPMM,0.1008055091,0.0860617467,0.0808151255,0.0792950768,0.0753027321,0.0742745817,0.0732864561,0.0738036813,0.072940933,0.0723215628
52,MISE.biv.DPMM,0.0219807258,0.0140342905,0.0130848343,0.0103444449,0.0101651432,0.011046328,0.0100765008,0.0084501793,0.0091136746,0.0085769492
53,MISE.biv.kde.DPMM_ng,0.0845137675,0.0703904262,0.0642591734,0.0620131697,0.0584819223,0.0578828006,0.0563836344,0.0560839722,0.0544965125,0.0545789545
54,MISE.biv.DPMM_ng,0.0216115182,0.0148785777,0.0118656235,0.0107210775,0.0106788892,0.0112730187,0.0117998588,0.0099171066,0.0095496978,0.0110927382
55,MISE.mu.kde.true,0.0034110458,0.0024638336,0.0016814516,0.0012082621,0.0010190605,0.0009682228,0.0008320801,0.0008519653,0.0006971017,0.0006593455
56,MISE.mu.kde.sample.est,0.0036161348,0.0027847381,0.0018362665,0.0014503693,0.0011890923,0.0011653695,0.0010339964,0.0010125171,0.0008341508,0.0007596105
57,MISE.mu.kde.EBMLE,0.0034324118,0.0024898139,0.001609345,0.0012159975,0.0010027727,0.0009604379,0.0008276339,0.000766563,0.0006979059,0.000568827
58,MISE.mu.kde.EBMOM,0.0034331711,0.0024909082,0.0016093279,0.0012160348,0.001002738,0.0009606263,0.0008277001,0.0007665431,0.0006983363,0.0005689603
59,MISE.mu.kde.JS,0.0035159019,0.0026527895,0.0017260366,0.0013440121,0.00108827,0.0010627738,0.0009299926,0.0009011503,0.0007527956,0.0006655977
60,MISE.mu.kde.oracle,0.003464486,0.0024762125,0.0016120221,0.0012162871,0.0010032747,0.0009567342,0.0008287422,0.0007620384,0.0007021697,0.000569066
61,MISE.mu.kde.SURE.G,0.0034933648,0.0025163311,0.0016159929,0.001219399,0.0010116354,0.0009688509,0.0008321125,0.0007618539,0.0007162997,0.000576562
62,MISE.mu.kde.SURE.M,0.0035261425,0.0025145798,0.0016214128,0.0012208956,0.0010160831,0.0009650313,0.0008339857,0.0007627926,0.0007152291,0.0005738175
63,MISE.mu.kde.SURE.SG,0.0035418722,0.0025002867,0.0016285829,0.0012185964,0.001034488,0.0009721676,0.0008216634,0.0007570518,0.0007288279,0.0005808651
64,MISE.mu.kde.SURE.SM,0.0036510146,0.0025580475,0.001696787,0.0012668994,0.001058473,0.0009853841,0.0008358411,0.0007725428,0.0007211845,0.000589894
65,MISE.mu.kde.gl,0.0034336982,0.0025199243,0.0016259459,0.001216783,0.0010057755,0.0009525887,0.0008310974,0.0007666148,0.0007049192,0.000576036
