"","measure","value","value","value","value","value","value","value","value","value","value"
"13","avg.loss.mu.est.gl.SURE",0.100508987285112,0.0981663265536368,0.11725611292774,0.102428940947494,0.101139461341114,0.0990416177157065,0.100931958089543,0.0978134034892885,0.104981455950081,0.0985451978900581
"14","avg.loss.mu.est.gl.dynamic",0.10698766436867,0.108770467429996,0.130500368316068,0.116917299027905,0.115602914899135,0.11404295034924,0.117132453425661,0.112916897618168,0.118098634527146,0.114300145431115
"15","avg.loss.mu.est.gl.dynamicMin",0.104353796984883,0.104801913308511,0.126318607470041,0.111895398831085,0.111598715485112,0.108480504293471,0.109824899688461,0.10706599187611,0.112484341560778,0.107754206650576
"16","avg.loss.mu.est.gl.dynamicMin2",0.103837287435674,0.105192641434405,0.126366545695969,0.111503385728481,0.11189146553689,0.108697395683902,0.110116660112402,0.107396014330212,0.112572734204158,0.108017509779057
"17","avg.loss.mu.est.gl.dynamicMin3",0.103414291984701,0.105300662944242,0.125602531753989,0.111737706477211,0.111711274251882,0.108494553353628,0.110323885332124,0.107736647061601,0.112653761538373,0.108395514792674
"18","avg.loss.mu.est.SURE.M.Double",0.105656154644035,0.110868099815565,0.129667164629474,0.116291977156443,0.115474047985804,0.114195540500866,0.118094463747078,0.112944255101564,0.117336598630951,0.114379701236731
"19","avg.loss.mu.est.SURE.G.Double",0.105560616467051,0.110818599056403,0.129654265428516,0.116286793666801,0.115471920360155,0.11419195745804,0.118087778837172,0.112943804161718,0.117336989327265,0.114379339545517
"20","avg.loss.mu.est.SURE.SG.Double",0.105560535039638,0.110818642658956,0.129654065204377,0.116286736097576,0.115471866764558,0.114191966656001,0.11808791185144,0.112943775718338,0.117337062925633,0.114379412230754
"21","avg.loss.mu.est.SURE.SM.Double",0.10565606564006,0.11086813914729,0.129666954453398,0.116292032015021,0.115474031875933,0.114195540855734,0.118094624094997,0.112944259280853,0.117336695429482,0.114379781951675
"22","avg.loss.mu.est.DPMM",0.104087656380221,0.100495632511912,0.105126720635807,0.0973929043118801,0.0928539920482961,0.0887415598731282,0.090546519976944,0.0865090659657956,0.0909059555247055,0.0854330071342152
"23","avg.loss.mu.est.DPMM_ng",0.104115394406543,0.103015219827211,0.104681718101078,0.0985887318018171,0.0942206894531035,0.0895170665435346,0.0911132174756912,0.0871234400051987,0.0913884271780044,0.086214350073254
"24","avg.loss.sigma2d.est.sample.var",0.646822496879382,1.17968939549125,13.1979577453044,3.27025491652492,1.69041838161367,1.00230872357755,1.22393670855396,0.958043674224522,1.52358885308774,1.25332548375672
"25","avg.loss.sigma2d.est.SURE.M.Double",0.435817700939512,0.478114105578599,2.81703556604873,2.46895362824812,0.683714804536756,0.798509023826939,0.956626060059124,0.597994048972889,0.823445933229045,1.03322243307359
"26","avg.loss.sigma2d.est.SURE.G.Double",0.435817788569849,0.478114127969111,2.81703500476579,2.46895238956604,0.6837146738804,0.798509035906548,0.956626149683481,0.597993995334266,0.823445826384284,1.03322233896645
"27","avg.loss.sigma2d.est.SURE.SG.Double",0.435814278355297,0.478111342097209,2.8170220811287,2.4689541336094,0.683714854242055,0.798507405714106,0.956606944376235,0.59798863498312,0.823433551019344,1.03322638609843
"28","avg.loss.sigma2d.est.SURE.SM.Double",0.435821038489718,0.47811056760425,2.81702192419788,2.46895385160982,0.683714488790701,0.798506631660876,0.956606425153651,0.59798794689278,0.823433192766372,1.03322368795549
"29","avg.loss.sigma2d.est.DPMM",2.65440844778729,17.7880513834967,480.22945326623,662.397809993267,39.1224708634305,5.13822207772996,3.14467478925089,10.1297144934452,64.1011561684383,5.67323773985802
"30","avg.loss.sigma2d.est.DPMM_ng",0.411455506089352,1.52220784120186,40.0401824899453,20.2936152972367,2.15329097592992,0.934856978680919,0.590759183347072,1.39818111888766,1.42022258907926,1.08708854931498
"31","MISE.biv.kde.true",3.63567073229221,3.6282164183648,3.72249447363317,3.81069696246674,3.57734033387842,3.76620767572842,4.04707743500764,4.20746606857408,4.16487889640777,4.13696577008877
"32","MISE.biv.kde.sample.est",3.48904977919407,3.51735676906624,3.61175586521452,3.72068737141132,3.50550222592544,3.68613048339524,3.9686967583095,4.15180691858479,4.14903816255135,4.06621549878161
"33","MISE.biv.kde.EBMLE",3.21291855080615,3.22946499926676,3.32242791417157,3.42906682518532,3.22674038780447,3.40845938108412,3.65886901193536,3.8457111960788,3.82193179994968,3.76600022621889
"34","MISE.biv.kde.EBMOM",3.34958903807326,3.39855421810712,3.51656816336385,3.6298811715787,3.41842035375884,3.59618944829602,3.88323913040835,4.06741056717322,4.06202214104257,3.98495764267206
"35","MISE.biv.kde.JS",3.29777081576894,3.31539259942624,3.40968753752666,3.51747730776244,3.30647714889134,3.48268023951993,3.74582103881397,3.92530087489432,3.92132356991743,3.83795210735151
"36","MISE.biv.kde.oracle",3.47649706087181,3.51397013736023,3.61164739602653,3.71631367611508,3.50847012210739,3.68808537511187,3.96972698767381,4.15409559032062,4.14757927606993,4.06735275097046
"37","MISE.biv.kde.SURE.G",3.42608320501968,3.48134598443772,3.58491788694242,3.69622306057917,3.4916203945899,3.67495210262063,3.956835621032,4.14421728685638,4.14028818659826,4.05951949219824
"38","MISE.biv.kde.SURE.M",3.47812280317935,3.51503348109953,3.61123101796861,3.71536692193936,3.50873970899025,3.6877394455321,3.97034012828838,4.1541357921442,4.14753485010802,4.06750019318602
"39","MISE.biv.kde.SURE.SG",3.35150401052089,3.37765836469636,3.49070878770671,3.59986612332675,3.3912885555432,3.55720867275715,3.83945116172155,4.02471889075504,4.01009546743907,3.93524944740293
"40","MISE.biv.kde.SURE.SM",3.4596628616577,3.47714804542829,3.56433662206738,3.6644208866336,3.45112288133021,3.62054259112002,3.9046399364689,4.08003077405767,4.06621358447957,3.98562904229204
"41","MISE.biv.kde.gl",3.25826159488696,3.25160940174012,3.29879673878969,3.42117216814461,3.22118060244369,3.39449002857011,3.61943175936496,3.81710714934046,3.76866101935944,3.73874945602401
"42","MISE.biv.kde.gl.SURE",3.24818738539082,3.23444035115261,3.30724357251194,3.41845172382115,3.2196448566732,3.39079641377761,3.60902751151453,3.81708192736574,3.75777727995562,3.7424930851144
"43","MISE.biv.kde.gl.dynamic",3.38343605585541,3.37725874440486,3.49086463698044,3.60375652994903,3.40314977314867,3.56889818345469,3.84073797094773,4.02481419410405,4.01828977544604,3.9357303767359
"44","MISE.biv.kde.gl.dynamicMin",3.33337663743387,3.35274558158457,3.46666917135207,3.55362239666791,3.38968113059183,3.57285604030346,3.8298730802242,4.02668619442,3.98549138778093,3.93854571213424
"45","MISE.biv.kde.gl.dynamicMin2",3.32049576900419,3.35795840276136,3.4690184418149,3.5574744482807,3.38986418253586,3.57275781135384,3.83524036017624,4.02547175834486,3.9886810449173,3.93727544614752
"46","MISE.biv.kde.gl.dynamicMin3",3.33438737962023,3.36637471423394,3.4700937395345,3.55578961077179,3.39364823581418,3.57487707206336,3.83814556488076,4.02442014682912,3.98487743411695,3.93901830466743
"47","MISE.biv.kde.SURE.G.Double",3.54971010830344,3.61952309596499,3.76784924738445,3.91099939558672,3.64278212337422,3.87055545339434,4.25075849406592,4.40792005078891,4.36567791020306,4.34378912456048
"48","MISE.biv.kde.SURE.M.Double",3.54949495998443,3.61887535279433,3.76747704513972,3.91070733502712,3.64251937697271,3.87030455173142,4.25055518931141,4.40773927021306,4.36550987634255,4.34363478585331
"49","MISE.biv.kde.SURE.SG.Double",3.54970792049161,3.61952562788356,3.76784722441922,3.91099879466239,3.64278709226825,3.87056236832444,4.25075741873881,4.4079231492433,4.36566496510721,4.3438048731439
"50","MISE.biv.kde.SURE.SM.Double",4.22697917552071,4.16267167773354,4.27248983566235,4.4395738276781,4.16290676640807,4.34139933887406,4.7742099325005,4.95675045987253,4.72487902167371,4.84547278393924
"51","MISE.biv.kde.DPMM",2.98640551793788,2.83107563087317,2.77303640180549,2.84385637191593,2.66437926401334,2.77629258473163,2.8516994013083,3.07255854416131,2.79867481057753,2.93821520935122
"52","MISE.biv.DPMM",2.51424880905841,2.23128925051057,2.12206495934511,2.09090764557343,2.13170162713538,2.136075467319,2.20917667144887,2.08550425308565,1.77447346818703,1.86417368649301
"53","MISE.biv.kde.DPMM_ng",2.79697659483475,2.62079238783809,2.533417432557,2.55821322198916,2.48850541031959,2.59340817112149,2.52972280984125,2.78785823582799,2.58846261708262,2.65613724506634
"54","MISE.biv.DPMM_ng",2.53979110802828,2.30093125434786,2.19906971949075,2.17083202939431,2.17582452576571,2.25181896049821,2.14281764469286,2.12357742303464,2.01788310546449,1.87835203072767
"55","MISE.mu.kde.true",0.595334328668445,0.558121023557193,0.533944233773604,0.531877819300822,0.515969868846455,0.515188107290779,0.520998175081567,0.548782070405693,0.526636784825391,0.51633808680885
"56","MISE.mu.kde.sample.est",0.417339509214053,0.399509706578164,0.369427343594953,0.370653061272261,0.35828372719883,0.353385336164262,0.354208715964271,0.390150872152429,0.364539137146129,0.355723652105922
"57","MISE.mu.kde.EBMLE",0.342887451873086,0.300337294306603,0.269329278665897,0.283824449534079,0.267189182295365,0.259663472097392,0.261803761030288,0.283168028002123,0.274643692102235,0.29459119321228
"58","MISE.mu.kde.EBMOM",0.345023740381501,0.331920903469305,0.315393642043569,0.319260372032431,0.307887274268978,0.30383700341674,0.30841559375929,0.344151696082586,0.318478924128821,0.312657869604559
"59","MISE.mu.kde.JS",0.307423989258968,0.288312277078771,0.265311796524808,0.269614840430291,0.25244450864614,0.252283567433947,0.253999497358205,0.278894769338663,0.260363034700586,0.254950766011904
"60","MISE.mu.kde.oracle",0.446367310673189,0.418596037368266,0.385301117569378,0.385358860768792,0.371259345762013,0.365208763188755,0.364281389128481,0.400924183461051,0.373779771500206,0.364505579781883
"61","MISE.mu.kde.SURE.G",0.389409467591024,0.381558589613411,0.358079851363514,0.357757686277238,0.349405891587583,0.346451204579259,0.347025528677304,0.385081783734473,0.359458744570661,0.351342659420094
"62","MISE.mu.kde.SURE.M",0.465929245348554,0.429557103729882,0.394155973036428,0.391132086761468,0.376474233734433,0.369885130005354,0.368603933293234,0.403128081827394,0.377150213461337,0.367084598434609
