"","measure","value","value","value","value","value","value","value","value","value","value"
"1","q",100,200,300,400,500,600,700,800,900,1000
"2","avg.loss.mu.est.true.oracle",1.11346760027972e-05,3.81810520175689e-06,1.77291703267309e-06,1.14794468576406e-06,5.20357250287377e-07,3.84386188121115e-07,2.50726798688663e-07,1.54863732364238e-07,1.96766184019244e-07,1.59757078423812e-07
"3","avg.loss.mu.est.sample.mean",0.523158387702285,0.529301716684157,0.515099934062957,0.527045712710173,0.523862033168586,0.517691387995948,0.517387834839773,0.531500029229593,0.519001991958349,0.525963301118623
"4","avg.loss.mu.est.EBMLE",0.720703454306301,0.786186789090052,0.779015921819593,0.761607358041546,0.767297274494659,0.757554608879238,0.751975366261683,0.73854302762228,0.750591266237008,0.758115296644582
"5","avg.loss.mu.est.EBMOM",0.638723260682014,0.673906349489842,0.680113353469991,0.675757827304919,0.678021097934078,0.669193001728139,0.664936601350674,0.659024523919144,0.666896029148407,0.672936299682958
"6","avg.loss.mu.est.JS",0.4931550168983,0.499157352583675,0.486294733626426,0.498622409445681,0.495210131604785,0.48917668632817,0.489525205409641,0.500332414188457,0.492219503404638,0.497623574625745
"7","avg.loss.mu.est.oracle",0.450044021407927,0.465547549558985,0.47009616756708,0.479194773385577,0.474878516534609,0.473014470714867,0.47256491322148,0.478172444417186,0.472827377995094,0.478581141038765
"8","avg.loss.mu.est.SURE.G",0.507953371789417,0.513654107167877,0.506047255828478,0.513917317272454,0.508931802338126,0.500912653466436,0.503029753692547,0.509833911176143,0.50662814452951,0.508345621020123
"9","avg.loss.mu.est.SURE.M",0.479759642025109,0.489082077798567,0.487041684138504,0.492487141745464,0.48618160531666,0.484026748614934,0.483741124759821,0.48616873063302,0.481858324723045,0.486852832893263
"10","avg.loss.mu.est.SURE.SG",0.513729349587601,0.510739889868876,0.497636509646646,0.500586779736676,0.492498641625738,0.481704036048884,0.486640545104688,0.488630566434159,0.486721911332939,0.484519623341261
"11","avg.loss.mu.est.SURE.SM",0.501709779243414,0.507642815105788,0.506113208393221,0.502080646880031,0.502618827912648,0.490095696088608,0.498363996559933,0.492273214962464,0.490806619372893,0.491326399754459
"12","avg.loss.mu.est.gl",0.449251584091928,0.456823975941346,0.449693890952139,0.457935079537044,0.452551474961727,0.447914205525389,0.450578854457929,0.453075927866095,0.448610944827384,0.452382649493059
"13","avg.loss.mu.est.gl.SURE",0.455565533579112,0.464608683743257,0.459811911995834,0.465321599998568,0.460000646028308,0.453488136268633,0.459325181991631,0.458775155241737,0.455486564790737,0.458579383624336
"14","avg.loss.mu.est.gl.dynamic",0.471133860239911,0.476264535183227,0.461284425492773,0.470935669294501,0.466209462971726,0.458893027715727,0.459983411997566,0.467170366816258,0.462532427700631,0.46496356350289
"15","avg.loss.mu.est.gl.dynamicMin",0.473741962205667,0.480213159309899,0.46573423951799,0.477307042603794,0.471342084316611,0.464436556035077,0.466753872556506,0.472998061137829,0.467253034103369,0.470328174668406
"16","avg.loss.mu.est.gl.dynamicMin2",0.471694891491418,0.479057304237533,0.46328065592679,0.475725026574555,0.470027845031039,0.463398300878286,0.4654202143416,0.472207683231034,0.466196918162002,0.469407090100569
"17","avg.loss.mu.est.gl.dynamicMin3",0.469811290556646,0.477978950209004,0.461913343516235,0.474304956342031,0.468426769251987,0.462225634746388,0.464352003582131,0.471058189889391,0.465353897613439,0.468553499602405
"18","avg.loss.mu.est.SURE.M.Double",0.462538820027535,0.47326416982076,0.458197821946315,0.467621737179068,0.463590901056495,0.45732579967627,0.458990233040871,0.464756056201783,0.461209604821771,0.463564641714852
"19","avg.loss.mu.est.SURE.G.Double",0.462479921556447,0.473211125977169,0.458181621524964,0.467616399209159,0.463590901050345,0.457323927935416,0.458984715885457,0.464764152975247,0.461205787657738,0.463565946327211
"20","avg.loss.mu.est.SURE.SG.Double",0.462480017629098,0.473211210722148,0.458181722612741,0.467616618196245,0.463591097848288,0.457324162853536,0.45898474716329,0.464764603170758,0.461205830340212,0.463566115493371
"21","avg.loss.mu.est.SURE.SM.Double",0.462538895556753,0.473264254153932,0.458197910770605,0.467621943580661,0.463591089463527,0.457326031916744,0.458990257393402,0.464756504165367,0.461209641938881,0.463564807133711
"22","avg.loss.mu.est.DPMM",0.44250972479798,0.446438706371484,0.433122401980924,0.439229755232768,0.433998083238263,0.425921246071964,0.425969374509807,0.426260533037414,0.424678918916346,0.425728514300678
